id,label,blurb,,,,
id1,disciplined,You gravitate toward structure and control.,,,,
id2,strategic,You prefer intent and planning over impulse.,,,,
id3,minimalist,You choose simplicity and focus over excess or noise.,,,,
id4,protective,You are drawn to warmth and loyalty.,,,,
id5,chaotic,You like energy movement and unpredictability.,,,,
id6,gritty,You value resilience and strength under pressure.,,,,
id7,polished,You notice refinement composure and presentation.,,,,
id8,analytical,You see patterns and details that others miss.,,,,
id9,social,You are energized by connection and shared moments.,,,,
id10,ambitious,You are motivated by drive growth and mastery.,,,,
id11,rebellious,You resist conformity and carve your own path.,,,,
id12,loyal,You value constancy and dependability.,,,,
id13,reflective,You are drawn to quiet moments and introspection.,,,,
id14,dominant,You are attracted to confidence and authority.,,,,
id15,empathetic,You are sensitive to emotion and subtle human cues.,,,,
id16,resilient,You admire endurance persistence and emotional strength.,,,,
